CID,FormalCharge,NumRotatableBonds,NumHAcceptors,NumHDonors,TPSA,LabuteASA,MolLogP
STU-CHA-7b3b91d5-1,0,6,4,1,61.88000000000001,175.64158182136362,2.2658
STU-CHA-6cae54d3-1,0,5,4,1,65.12,175.03647337717038,1.7648
TOB-UNK-c2aba166-1,0,2,2,0,23.55,83.63663784866463,0.002599999999999936
NAU-LAT-f723e322-4,0,3,3,0,57.69000000000001,119.09747118182196,1.0174999999999998
PAU-UNI-8cdd41c7-1,0,3,2,0,23.550000000000004,127.57115488783951,2.876400000000001
TAM-UNI-d1c3dd9f-5,0,4,4,0,60.93000000000001,153.93916930075187,0.8873000000000002
TAM-UNI-d1c3dd9f-12,0,5,4,1,65.12,164.7332071502887,1.1114000000000006
TAM-UNI-d1c3dd9f-18,0,4,4,1,76.44,140.16341274238653,1.3996799999999998
MAK-UNK-af83ef51-1,0,4,4,0,49.33000000000001,140.46101260203324,2.0266
MAK-UNK-af83ef51-2,0,5,2,0,23.55,126.05944877726601,2.3907000000000007
